Dosha,Body Size,Body Weight,Height,Bone Structure,Complexion,General feel of skin,Texture of Skin,Hair Color,Appearance of Hair,Shape of face,Eyes,Eyelashes,Blinking of Eyes,Cheeks,Nose,Teeth and gums,Lips,Nails,Appetite,Liking tastes,Metabolism Type,Climate Preference,Stress Levels,Sleep Patterns,Dietary Habits,Physical Activity Level,Water Intake,Digestion Quality,Skin Sensitivity
kapha,Large,Heavy - difficulties in losing weight,Tall,"Large, broad shoulders , heavy bone structure","White, pale, tans easily","Thick and moist/greasy, cold",Oily,Brown,"Thick, curly","Large, round, full","Big, round, beautiful, glowing eyes",Thick/Fused eyelashes,Moderate Blinking,"Rounded, Plump","Rounded, Large open nostrils","Big, White, Strong teeth, Healthy gums","Lips are large, soft, pink, and full","Thick, Oily, Smooth, Polished",Slow but steady,Sweet / Sour / Salty,moderate,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
pitta,Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Straight, oily","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Pointed, Average","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous",Slow but steady,Sweet / Sour / Salty,moderate,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
pitta+kapha,Large,Heavy - difficulties in losing weight,Tall,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Large, round, full","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Rounded, Plump","Rounded, Large open nostrils","Big, White, Strong teeth, Healthy gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished",Slow but steady,Sweet / Sour / Salty,moderate,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
vata,Slim,Low - difficulties in gaining weight,Short,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Scanty eyelashes,Excessive Blinking,"Wrinkled, Sunken","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Sour / Salty,moderate,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
vata+kapha,Large,Heavy - difficulties in losing weight,Average,"Large, broad shoulders , heavy bone structure",Fair-skin sunburns easily,"Smooth and warm, oily T-zone","Freckles, many moles, redness and rashes","Red, light brown, yellow","Straight, oily","Large, round, full","Big, round, beautiful, glowing eyes",Moderate eyelashes,Moderate Blinking,"Rounded, Plump","Rounded, Large open nostrils","Irregular, Protruding teeth, Receding gums","Lips are large, soft, pink, and full","Dry, Rough, Brittle, Break",Slow but steady,Pungent / Bitter / Astringent,moderate,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
vata+pitta,Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,moderate,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
