Dosha,Patient_Count,Body Size,Body Weight,Height,Bone Structure,Complexion,General feel of skin,Texture of Skin,Hair Color,Appearance of Hair,Shape of face,Eyes,Eyelashes,Blinking of Eyes,Cheeks,Nose,Teeth and gums,Lips,Nails,Appetite,Liking tastes,Metabolism Type,Climate Preference,Stress Levels,Sleep Patterns,Dietary Habits,Physical Activity Level,Water Intake,Digestion Quality,Skin Sensitivity
kapha,72,large,heavy - difficulties in losing weight,tall,"large, broad shoulders , heavy bone structure","white, pale, tans easily","thick and moist/greasy, cold",oily,brown,"thick, curly","large, round, full","big, round, beautiful, glowing eyes",thick/fused eyelashes,moderate blinking,"rounded, plump","rounded, large open nostrils","big, white, strong teeth, healthy gums","lips are large, soft, pink, and full","thick, oily, smooth, polished",slow but steady,sweet / sour / salty,moderate,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
pitta,144,medium,moderate - no difficulties in gaining or losing weight,average,medium bone structure,fair-skin sunburns easily,"smooth and warm, oily t-zone",oily,"black/brown,dull","straight, oily","heart-shaped, pointed chin","medium-sized, penetrating, light-sensitive eyes",moderate eyelashes,moderate blinking,"smooth, flat","pointed, average","medium-sized teeth, reddish gums","lips are soft, medium-sized","sharp, flexible, pink, lustrous",slow but steady,sweet / sour / salty,moderate,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
pitta+kapha,48,large,heavy - difficulties in losing weight,tall,"light, small bones, prominent joints","dark-complexion, tans easily","dry and thin, cool to touch, rough",oily,"black/brown,dull","dry, black, knotted, brittle","large, round, full","medium-sized, penetrating, light-sensitive eyes",moderate eyelashes,moderate blinking,"rounded, plump","rounded, large open nostrils","big, white, strong teeth, healthy gums","tight, thin, dry lips which chaps easily","thick, oily, smooth, polished",slow but steady,sweet / sour / salty,moderate,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
vata,264,slim,low - difficulties in gaining weight,short,"light, small bones, prominent joints","dark-complexion, tans easily","dry and thin, cool to touch, rough",oily,"black/brown,dull","dry, black, knotted, brittle","long, angular, thin","small, active, darting, dark eyes",scanty eyelashes,excessive blinking,"wrinkled, sunken","crooked, narrow","irregular, protruding teeth, receding gums","tight, thin, dry lips which chaps easily","dry, rough, brittle, break","irregular, scanty",sweet / sour / salty,moderate,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
vata+kapha,48,large,heavy - difficulties in losing weight,average,"large, broad shoulders , heavy bone structure",fair-skin sunburns easily,"smooth and warm, oily t-zone","freckles, many moles, redness and rashes","red, light brown, yellow","straight, oily","large, round, full","big, round, beautiful, glowing eyes",moderate eyelashes,moderate blinking,"rounded, plump","rounded, large open nostrils","irregular, protruding teeth, receding gums","lips are large, soft, pink, and full","dry, rough, brittle, break",slow but steady,pungent / bitter / astringent,moderate,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
vata+pitta,624,medium,moderate - no difficulties in gaining or losing weight,average,medium bone structure,fair-skin sunburns easily,"smooth and warm, oily t-zone",oily,"black/brown,dull","dry, black, knotted, brittle","long, angular, thin","medium-sized, penetrating, light-sensitive eyes",moderate eyelashes,moderate blinking,"smooth, flat","crooked, narrow","medium-sized teeth, reddish gums","lips are soft, medium-sized","dry, rough, brittle, break","strong, unbearable",sweet / sour / salty,moderate,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
